tournament,stage,date,home_team,away_team,home_score,away_score,venue,winner,home_elo,away_elo,home_elo_after,away_elo_after,elo_diff,home_rank,away_rank,home_rank_obj,away_rank_obj,rank_source,home_days_since_last_match,away_days_since_last_match,rank_diff,is_home_favourite,ingested_at,match_temp,match_hum,match_wind,shock_home,shock_away
1930--uruguay,Group 1,1930-07-13,France,Mexico,4,1,"Estadio Pocitos, Montevideo",France,,,,,,,,,,,,,,,,22.0,50.0,10.0,-11.205688,-1.3163357
1930--uruguay,Group 1,1930-07-15,Argentina,France,1,0,"Estadio Parque Central, Montevideo",Argentina,,,,,,,,,,,,,,,,22.0,50.0,10.0,9.755129,-11.205688
1930--uruguay,Group 1,1930-07-16,Chile,Mexico,3,0,"Estadio Parque Central, Montevideo",Chile,,,,,,,,,,,,,,,,22.0,50.0,10.0,10.633468,-1.3163357
1930--uruguay,Group 1,1930-07-19,Chile,France,1,0,"Estadio Centenario, Montevideo",Chile,,,,,,,,,,,,,,,,22.0,50.0,10.0,10.633468,-11.205688
1930--uruguay,Group 1,1930-07-19,Argentina,Mexico,6,3,"Estadio Centenario, Montevideo",Argentina,,,,,,,,,,,,,,,,22.0,50.0,10.0,9.755129,-1.3163357
1930--uruguay,Group 1,1930-07-22,Argentina,Chile,3,1,"Estadio Centenario, Montevideo",Argentina,,,,,,,,,,,,,,,,22.0,50.0,10.0,9.755129,10.633468
1930--uruguay,Group 2,1930-07-14,Yugoslavia,Brazil,2,1,"Estadio Parque Central, Montevideo",Yugoslavia,,,,,,,,,,,,,,,,22.0,50.0,10.0,24.20654,-12.669376
1930--uruguay,Group 2,1930-07-17,Yugoslavia,Bolivia,4,0,"Estadio Parque Central, Montevideo",Yugoslavia,,,,,,,,,,,,,,,,22.0,50.0,10.0,24.20654,-5.8199997
1930--uruguay,Group 2,1930-07-20,Brazil,Bolivia,4,0,"Estadio Centenario, Montevideo",Brazil,,,,,,,,,,,,,,,,22.0,50.0,10.0,-12.669376,-5.8199997
1930--uruguay,Group 3,1930-07-14,Romania,Peru,3,1,"Estadio Pocitos, Montevideo",Romania,,,,,,,,,,,,,,,,22.0,50.0,10.0,1.15691,-12.424267
1930--uruguay,Group 3,1930-07-18,Uruguay,Peru,1,0,"Estadio Centenario, Montevideo",Uruguay,,,,,,,,,,,,,,,,22.0,50.0,10.0,5.405241,-12.424267
1930--uruguay,Group 3,1930-07-21,Uruguay,Romania,4,0,"Estadio Centenario, Montevideo",Uruguay,,,,,,,,,,,,,,,,22.0,50.0,10.0,5.405241,1.15691
