tournament,stage,date,home_team,away_team,home_score,away_score,venue,winner
1990--italy,Group A,1990-06-09,Italy,Austria,1,0,"Stadio Olimpico, Rome",Italy
1990--italy,Group A,1990-06-10,United States,Czechoslovakia,1,5,"Stadio Comunale, Florence",Czechoslovakia
1990--italy,Group A,1990-06-14,Italy,United States,1,0,"Stadio Olimpico, Rome",Italy
1990--italy,Group A,1990-06-15,Austria,Czechoslovakia,0,1,"Stadio Comunale, Florence",Czechoslovakia
1990--italy,Group A,1990-06-19,Italy,Czechoslovakia,2,0,"Stadio Olimpico, Rome",Italy
1990--italy,Group A,1990-06-19,Austria,United States,2,1,"Stadio Comunale, Florence",Austria
1990--italy,Group B,1990-06-08,Argentina,Cameroon,0,1,"San Siro, Milan",Cameroon
1990--italy,Group B,1990-06-09,Soviet Union,Romania,0,2,"Stadio San Nicola, Bari",Romania
1990--italy,Group B,1990-06-13,Argentina,Soviet Union,2,0,"Stadio San Paolo, Naples",Argentina
1990--italy,Group B,1990-06-14,Cameroon,Romania,2,1,"Stadio San Nicola, Bari",Cameroon
1990--italy,Group B,1990-06-18,Argentina,Romania,1,1,"Stadio San Paolo, Naples",Draw
1990--italy,Group B,1990-06-18,Cameroon,Soviet Union,0,4,"Stadio San Nicola, Bari",Soviet Union
1990--italy,Group C,1990-06-10,Brazil,Sweden,2,1,"Stadio Delle Alpi, Turin",Brazil
1990--italy,Group C,1990-06-11,Costa Rica,Scotland,1,0,"Stadio Luigi Ferraris, Genoa",Costa Rica
1990--italy,Group C,1990-06-16,Brazil,Costa Rica,1,0,"Stadio Delle Alpi, Turin",Brazil
1990--italy,Group C,1990-06-16,Sweden,Scotland,1,2,"Stadio Luigi Ferraris, Genoa",Scotland
1990--italy,Group C,1990-06-20,Brazil,Scotland,1,0,"Stadio Delle Alpi, Turin",Brazil
1990--italy,Group C,1990-06-20,Sweden,Costa Rica,1,2,"Stadio Luigi Ferraris, Genoa",Costa Rica
1990--italy,Group D,1990-06-09,United Arab Emirates,Colombia,0,2,"Stadio Renato Dall'Ara, Bologna",Colombia
1990--italy,Group D,1990-06-10,West Germany,Yugoslavia,4,1,"San Siro, Milan",West Germany
1990--italy,Group D,1990-06-14,Yugoslavia,Colombia,1,0,"Stadio Renato Dall'Ara, Bologna",Yugoslavia
1990--italy,Group D,1990-06-15,West Germany,United Arab Emirates,5,1,"San Siro, Milan",West Germany
1990--italy,Group D,1990-06-19,West Germany,Colombia,1,1,"San Siro, Milan",Draw
1990--italy,Group D,1990-06-19,Yugoslavia,United Arab Emirates,4,1,"Stadio Renato Dall'Ara, Bologna",Yugoslavia
1990--italy,Group E,1990-06-12,Belgium,South Korea,2,0,"Stadio Marc'Antonio Bentegodi, Verona",Belgium
1990--italy,Group E,1990-06-13,Uruguay,Spain,0,0,"Stadio Friuli, Udine",Draw
1990--italy,Group E,1990-06-17,Belgium,Uruguay,3,1,"Stadio Marc'Antonio Bentegodi, Verona",Belgium
1990--italy,Group E,1990-06-17,South Korea,Spain,1,3,"Stadio Friuli, Udine",Spain
1990--italy,Group E,1990-06-21,Belgium,Spain,1,2,"Stadio Marc'Antonio Bentegodi, Verona",Spain
1990--italy,Group E,1990-06-21,South Korea,Uruguay,0,1,"Stadio Friuli, Udine",Uruguay
