tournament,stage,date,home_team,away_team,home_score,away_score,venue,winner
1930--uruguay,Group 1,1930-07-13,France,Mexico,4,1,"Estadio Pocitos, Montevideo",France
1930--uruguay,Group 1,1930-07-15,Argentina,France,1,0,"Estadio Parque Central, Montevideo",Argentina
1930--uruguay,Group 1,1930-07-16,Chile,Mexico,3,0,"Estadio Parque Central, Montevideo",Chile
1930--uruguay,Group 1,1930-07-19,Chile,France,1,0,"Estadio Centenario, Montevideo",Chile
1930--uruguay,Group 1,1930-07-19,Argentina,Mexico,6,3,"Estadio Centenario, Montevideo",Argentina
1930--uruguay,Group 1,1930-07-22,Argentina,Chile,3,1,"Estadio Centenario, Montevideo",Argentina
1930--uruguay,Group 2,1930-07-14,Yugoslavia,Brazil,2,1,"Estadio Parque Central, Montevideo",Yugoslavia
1930--uruguay,Group 2,1930-07-17,Yugoslavia,Bolivia,4,0,"Estadio Parque Central, Montevideo",Yugoslavia
1930--uruguay,Group 2,1930-07-20,Brazil,Bolivia,4,0,"Estadio Centenario, Montevideo",Brazil
1930--uruguay,Group 3,1930-07-14,Romania,Peru,3,1,"Estadio Pocitos, Montevideo",Romania
1930--uruguay,Group 3,1930-07-18,Uruguay,Peru,1,0,"Estadio Centenario, Montevideo",Uruguay
1930--uruguay,Group 3,1930-07-21,Uruguay,Romania,4,0,"Estadio Centenario, Montevideo",Uruguay
1930--uruguay,Group 4,1930-07-13,United States,Belgium,3,0,"Estadio Parque Central, Montevideo",United States
1930--uruguay,Group 4,1930-07-17,United States,Paraguay,3,0,"Estadio Parque Central, Montevideo",United States
1930--uruguay,Group 4,1930-07-20,Paraguay,Belgium,1,0,"Estadio Centenario, Montevideo",Paraguay
1930--uruguay,Semi-finals,1930-07-26,Argentina,United States,6,1,"Estadio Centenario, Montevideo",Argentina
1930--uruguay,Semi-finals,1930-07-27,Uruguay,Yugoslavia,6,1,"Estadio Centenario, Montevideo",Uruguay
1930--uruguay,Final,1930-07-30,Uruguay,Argentina,4,2,"Estadio Centenario, Montevideo",Uruguay
1934--italy,Preliminary round,1934-05-27,Sweden,Argentina,3,2,"Stadio Littoriale, Bologna",Sweden
1934--italy,Preliminary round,1934-05-27,Austria,France,3,2,"Stadio Benito Mussolini, Turin",Austria
1934--italy,Preliminary round,1934-05-27,Germany,Belgium,5,2,"Stadio Giovanni Berta, Florence",Germany
1934--italy,Preliminary round,1934-05-27,Spain,Brazil,3,1,"Stadio Luigi Ferraris, Genoa",Spain
1934--italy,Preliminary round,1934-05-27,Hungary,Egypt,4,2,"Stadio Giorgio Ascarelli, Naples",Hungary
1934--italy,Preliminary round,1934-05-27,Switzerland,Netherlands,3,2,"Stadio San Siro, Milan",Switzerland
1934--italy,Preliminary round,1934-05-27,Italy,United States,7,1,"Stadio Nazionale PNF, Rome",Italy
1934--italy,Preliminary round,1934-05-27,Czechoslovakia,Romania,2,1,"Stadio Littorio, Trieste",Czechoslovakia
1934--italy,Quarter-finals,1934-05-31,Czechoslovakia,Switzerland,3,2,"Stadio Benito Mussolini, Turin",Czechoslovakia
1934--italy,Quarter-finals,1934-05-31,Germany,Sweden,2,1,"Stadio San Siro, Milan",Germany
1934--italy,Quarter-finals,1934-05-31,Italy,Spain,1,1,"Stadio Giovanni Berta, Florence",Draw
1934--italy,Quarter-finals,1934-05-31,Austria,Hungary,2,1,"Stadio Littoriale, Bologna",Austria
1934--italy,"Quarter-finals, Replays",1934-06-01,Italy,Spain,1,0,"Stadio Giovanni Berta, Florence",Italy
1934--italy,Semi-finals,1934-06-03,Italy,Austria,1,0,"Stadio San Siro, Milan",Italy
1934--italy,Semi-finals,1934-06-03,Czechoslovakia,Germany,3,1,"Stadio Nazionale PNF, Rome",Czechoslovakia
1934--italy,Third-place match,1934-06-07,Germany,Austria,3,2,"Stadio Giorgio Ascarelli, Naples",Germany
1934--italy,Final,1934-06-10,Italy,Czechoslovakia,2,1,"Stadio Nazionale PNF, Rome",Italy
1938--france,First round,1938-06-04,Switzerland,Germany,1,1,"Parc des Princes, Paris",Draw
1938--france,First round,1938-06-05,Hungary,Dutch East Indies,6,0,"Vélodrome Municipal, Reims",Hungary
1938--france,First round,1938-06-05,France,Belgium,3,1,"Stade Olympique de Colombes, Paris",France
1938--france,First round,1938-06-05,Cuba,Romania,3,3,"Stade Chapou, Toulouse",Draw
1938--france,First round,1938-06-05,Italy,Norway,2,1,"Stade Vélodrome, Marseille",Italy
1938--france,First round,1938-06-05,Brazil,Poland,6,5,"Stade de la Meinau, Strasbourg",Brazil
1938--france,First round,1938-06-05,Czechoslovakia,Netherlands,3,0,"Stade municipal, Le Havre",Czechoslovakia
1938--france,"First round, Replays",1938-06-09,Cuba,Romania,2,1,"Stade Chapou, Toulouse",Cuba
1938--france,"First round, Replays",1938-06-09,Germany,Switzerland,2,4,"Parc des Princes, Paris",Switzerland
1938--france,Quarter-finals,1938-06-12,Brazil,Czechoslovakia,1,1,"Parc Lescure, Bordeaux",Draw
1938--france,Quarter-finals,1938-06-12,Switzerland,Hungary,0,2,"Stade Victor Boucquey, Lille",Hungary
1938--france,Quarter-finals,1938-06-12,Sweden,Cuba,8,0,"Stade du Fort Carré, Antibes",Sweden
1938--france,Quarter-finals,1938-06-12,France,Italy,1,3,"Stade Olympique de Colombes, Paris",Italy
1938--france,"Quarter-finals, Replays",1938-06-14,Brazil,Czechoslovakia,2,1,"Parc Lescure, Bordeaux",Brazil
1938--france,Semi-finals,1938-06-16,Hungary,Sweden,5,1,"Parc des Princes, Paris",Hungary
1938--france,Semi-finals,1938-06-16,Italy,Brazil,2,1,"Stade Vélodrome, Marseille",Italy
1938--france,Match for third place,1938-06-19,Sweden,Brazil,2,4,"Parc Lescure, Bordeaux",Brazil
1938--france,Final,1938-06-19,Hungary,Italy,2,4,"Stade Olympique de Colombes, Paris",Italy
1950--brazil,Group 1,1950-06-24,Brazil,Mexico,4,0,"Estádio do Maracanã, Rio de Janeiro",Brazil
1950--brazil,Group 1,1950-06-25,Yugoslavia,Switzerland,3,0,"Estádio Independência, Belo Horizonte",Yugoslavia
1950--brazil,Group 1,1950-06-28,Brazil,Switzerland,2,2,"Estádio do Pacaembu, São Paulo",Draw
1950--brazil,Group 1,1950-06-28,Yugoslavia,Mexico,4,1,"Estádio dos Eucaliptos, Porto Alegre",Yugoslavia
1950--brazil,Group 1,1950-07-01,Brazil,Yugoslavia,2,0,"Estádio do Maracanã, Rio de Janeiro",Brazil
1950--brazil,Group 1,1950-07-02,Switzerland,Mexico,2,1,"Estádio dos Eucaliptos, Porto Alegre",Switzerland
1950--brazil,Group 2,1950-06-25,England,Chile,2,0,"Estádio do Maracanã, Rio de Janeiro",England
1950--brazil,Group 2,1950-06-25,Spain,United States,3,1,"Estádio Durival de Britto, Curitiba",Spain
1950--brazil,Group 2,1950-06-29,Spain,Chile,2,0,"Estádio do Maracanã, Rio de Janeiro",Spain
1950--brazil,Group 2,1950-06-29,United States,England,1,0,"Estádio Independência, Belo Horizonte",United States
1950--brazil,Group 2,1950-07-02,Spain,England,1,0,"Estádio do Maracanã, Rio de Janeiro",Spain
1950--brazil,Group 2,1950-07-02,Chile,United States,5,2,"Estádio Ilha do Retiro, Recife",Chile
1950--brazil,Group 3,1950-06-25,Sweden,Italy,3,2,"Estádio do Pacaembu, São Paulo",Sweden
1950--brazil,Group 3,1950-06-29,Sweden,Paraguay,2,2,"Estádio Durival Britto, Curitiba",Draw
1950--brazil,Group 3,1950-07-02,Italy,Paraguay,2,0,"Estádio do Pacaembu, São Paulo",Italy
1950--brazil,Group 4,1950-07-02,Uruguay,Bolivia,8,0,"Estádio Independência, Belo Horizonte",Uruguay
1950--brazil,Final Round,1950-07-09,Uruguay,Spain,2,2,"Estádio do Pacaembu, São Paulo",Draw
1950--brazil,Final Round,1950-07-09,Brazil,Sweden,7,1,"Estádio do Maracanã, Rio de Janeiro",Brazil
1950--brazil,Final Round,1950-07-13,Brazil,Spain,6,1,"Estádio do Maracanã, Rio de Janeiro",Brazil
1950--brazil,Final Round,1950-07-13,Uruguay,Sweden,3,2,"Estádio do Pacaembu, São Paulo",Uruguay
1950--brazil,Final Round,1950-07-16,Sweden,Spain,3,1,"Estádio do Pacaembu, São Paulo",Sweden
1950--brazil,Final Round,1950-07-16,Uruguay,Brazil,2,1,"Estádio do Maracanã, Rio de Janeiro",Uruguay
1954--switzerland,Group 1,1954-06-16,Brazil,Mexico,5,0,"Charmilles Stadium, Geneva",Brazil
1954--switzerland,Group 1,1954-06-16,Yugoslavia,France,1,0,"Stade Olympique de la Pontaise, Lausanne",Yugoslavia
1954--switzerland,Group 1,1954-06-19,Brazil,Yugoslavia,1,1,"Stade Olympique de la Pontaise, Lausanne",Draw
1954--switzerland,Group 1,1954-06-19,France,Mexico,3,2,"Charmilles Stadium, Geneva",France
